Clothing ID,Age,Review Text,Rating,Department Name
1103,47,"I love, love this dress except for the armpits. if they had just made the armpits a normal round shape with normal openings, the dress would have been perfection. so audrey hepburn!! but i had to say no. i really wish they would redo this dress with normal arm openings. i think it would sell like crazy.",4,Dresses
909,31,"I wanted this sweater to work but sadly it failed. first, the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.",2,Tops
872,35,Oh my! i love this tee. it is super soft. i love how it doesn't look like a sack with no shape. i can't wait to get more colors. i am tall plus have a long torso and it still is long enough for me so this is definitely a win!,5,Tops
701,32,I love the style of this swimsuit on the model. when i purchased is i didn't realize that there was no support (wire/ padding/ lining) in the chest. the rest of the swimsuit was great but i did not like the look in the chest - it provided no support. i ended up returning it.,3,Intimate
1078,61,"Was super excited to try this on, but had to go up 3 sizes from my normal 6 and the waist was still too tight - i was swimming in the top as well. just a very strange cut and unflattering. such a bummer because it's so pretty.",2,Dresses
1094,23,"Size 8 always, 36c and i have broad shoulders...i found this true to size. the colors pop more and there is a cleavage alert, just letting you girls know. this is very figure flattering, especially with my body frame, it accentuates the right spots.",5,Dresses
1098,37,"I love the style of this dress, comfortable but chic, and it feels great!",5,Dresses
1092,37,This is perfect! it fits tts. i am usually an 8 and this was spot on. it isn't too short either. it really is as it appears on the model. i absolutely love it and can't wait to wear it. my hubby definitely approved!,5,Dresses
1046,41,"A culotte and basketball short hybrid. these culottes are heaven....very comfortable. the are great on windy summer days or walking around the city (between the buildings are like wind tunnels). the waist does run alittle large...i have a 29-30in waist and the medium petite fit my lower waist, but is large on my natural waist...a small petite would be better, so size down one size on the waist. plus the waist band is stretchy, so there is a lot of forgiveness in sizing down. plus the petite's le",5,Bottoms
861,34,Love the color and the design. it is slightly see-through which i don't like but it still works wotb a nude bra. very comfortable!,5,Tops
834,32,"The fit was fine, but the fabric (the beige option) was bland. it washed me out. granted, i'm fair skinned, but it reminded me of sour milk. it's getting returned.",3,Tops
834,56,"I bought this top in the brown /white combo although i really wanted the red /white but haven't had any luck finding it. i am never sure of my size in retailer but run anywhere from small to large depending on brands. i'm 5'4"", 140, 34 ddd. i wish other reviewers would state their sizes to help others purchase.. i got this shirt in size 8 which usually never happens to me. i wear a white tank or cream cami underneath since it is very sheer and dips low at the cleavage area. it is still flowy but n",5,Tops
927,59,The sweater is very soft. it has an interesting pattern. i purchased the neutral color in size xs which runs tts. it's definitely a cozy sweater to wear this winter.,5,Tops
1104,41,"This is my fourth amadi piece from retailer.  i love their signature fitted crossover top design which i am finding in many of their pieces (like the lola jumpsuit, crossfront lola dress and others).  this dress has the same crossover top design, with a slim maxi silhouette.    the fabric is 97% rayon and 3% nylon with a neat texture that doesn't come through on the product photo but adds to its appeal in my opinion because it hides wrinkles.  it fits tts and the same as the other amadi pie",5,Dresses
1110,61,"The overall color of this dress is more buttery white and the pale golden embroidery almost blends in.therefore i think the dress benefits from being styled . i tried bold colored scarves with fringes and big statement jewelry. this dress is more casual with its fringes , the jeans like material ( although softer than cotton) as well as the loose pullover style. it is easy to dress down with a blue jean jacket, casual sandals or even sneakers. 
i have a 38 c chest and the l fits almost too loos",4,Dresses
867,41,"This is a basic henley, and it is made well; a wardrobe staple, for sure. the cut is flattering, and the material is soft. i ordered the small, which is tight fitting. i'm a 34 c for reference.",5,Tops
863,47,"This is the perfect grab and go t-shirt. i love the fun design as it takes a simple t-shirt and makes it fun. i originally ordered the small but it was way to big for me especially at the waist. the bottom half of this top is much looser and if you want to have a more fitted look, size down. very cute.",5,Tops
1095,21,"I am 5'3' and 120 lbs for reference, and pear shaped and this dress in a 4 petite fit like a glove. granted, not a dress i would want to gain weight in, but fit perfectly. usually i am a 2 in retailer dresses but read other reviews and definitely made the right choice. it hits at a very flattering length even for someone as short as i am.",5,Dresses
863,41,"This does run big but because it is cotton, it easily shrinks in the dryer. i love it! i do wish the color was more saturated/deeper.",4,Tops
872,39,"It's always sunny when i wear this sunshine yellow tee.  love the color and they way it was pieced together.  has a flattering feminine fit whole still feeling relaxed and casual.  it's slightly sheer but not obscene.  all linen and a little scratchy so if you're sensitive, be aware.  i purchased medium and i'm 39/28/35 140# 5'3""",5,Tops
829,34,Such a cute top! i got the black with tiny car faces on it. absolutely adore it.,5,Tops
382,23,"This swimsuit is amazing! i am 5' 4"" and about 135 lbs, and ordered a small. however, i am returning it for an extra small (just a personal preference as i like my swimsuits a bit snug so they don't get loose when wet). the fabric is very forgiving and stretchy (which is why i'm exchanging for a smaller size - i can slide the size small up my legs with ease), but the fabric is also very sturdy (so it seems, i haven't worn it in the water yet obviously). overall, very cute and surprisingly flatte",5,Intimate
893,29,This is quite long on my 5'1 frame but it's wool and will be amazing in the fall and winter. so happy i finally ordered this,5,Tops
606,46,"I'm 5'4"", 130 lbs, curvy and fit. i'm usually a size 6 but when i tried these shorts on, they were tight. i sized up to an 8 and they looked better. but overall the fit was not flattering on a petite, curvy frame. i think these shorts would work on someone taller and a bit thinner in the thigh area.",3,Bottoms
520,39,I really like this top. perfect underneath cardigans or on its own. the fabric is a bit thin so light colors may be see through. love the wider style so there is no bra show. versatile. i see myself purchasing more of these!,4,Intimate
1052,31,"Saw this online and went in to try on. fit great and is true to size, but i should have known there would be issues as three out of six on the rack had the sewn in tags were all but hanging by a thread. i bought this for my bachelorette weekend in napa and when i put this on i noticed the straps had a few threads coming out and i thought, better get this to the seamstress as soon as i get home to secure the straps. well, literally five minutes into the car ride to the wineries i noticed the seam",2,Bottoms
1059,65,"I am not really a ""print person"" but cartonnier gets it right every time - modern prints that lend themselves to many styling and paring options. the charlie trouser, which they do every season, is a great fitting pant (going up a size is a must as they do run small) with details (stitching, buttons, pockets) that make their pants look more expensive than they actually are.
i bought these in the blue combo when i saw them at my local retailer store. the blue combo has both blue and black (as well",5,Bottoms
1098,34,"I got this in blush pink and the details are very pretty. the dress is wide, might have a tailor bring it in on the sides, but its very comfortable and i like that it covers my arms a bit, but still keeps you cool.",4,Dresses
936,59,"I coveted this item since i first saw it on instagram. i finally bought it in coral. it's a beautiful coat, the color is lovely and i like the way the hood makes a cute collar when worn down. the only problem is it looks like a bathrobe on me. i am 5'5"" and wear a size 8. i bought a medium, worried a small would not button. the sleeves are far too long. i do not want to go through the trouble of returning, so gave it to my daughter who is four inches taller. it looks cute in her.",3,Tops
1078,69,"Great dress - the hardest part was picking which color. the dress is a slim swing silhouette and very flattering. the fabric skims the body without highlighting my problem areas (lower abdomen and hips). the dress is modest enough for work (it ends a few inches above the knee in the middle, comes to my knee on the sides). i am always a xs or s in maeve - i went with the small on this dress. the sleeves aren't as long as the picture shows - they ended where they should. i went with the navy and w",5,Dresses
817,36,"This is an eye-catching top and cute design. the xs fit but was extra-billowy for my taste...if you notice on the model it also shows that the back is not fitted and flows behind wider than is normal...a great and breezy style, but for me, sadly it overwhelmed my short frame. the bottom of the ruffle hit me just at the hips which made the top also a tad too short for my taste. i am sure on others it will work and look amazing.",4,Tops
906,39,"Got this style in both black and green. the fabric is soft and the neck design is very elegant! i am 5'3, 120lbs, 34dd bra and take this in size small.",5,Tops
316,28,"This romper is one of my favorite purchases. the material is great, the fit is very forgiving, and it is very comfortable. it is easily dressed up or down. i purchased a size smaller than i usually wear and it fits well.",5,Bottoms
1059,28,"I thought i'd be the exception - these pants are super cute - great fabric and color - kind of loved them - but they do run small - by about one size. just something to keep in mind while ordering. other than that - they are lovely, well-made pants.",5,Bottoms
836,39,The shirt was cute. i'm very petite and it ran very wide so didn't fit me well.,3,Tops
1087,36,"This dress has been one that i just adored online and in the store so i was happy when i bought it on sale. i have worn this dress one time, thinking that i would love it. the problem is that as i wore it, the dress continued to stretch out of shape and just did nothing for my curvy bottom half. the dress just looked pulled and stretched out of shape. i would say that it may be the yarn and that it has too much give or at least more give than i want.",3,Dresses
1022,59,"I have many pairs of ag jeans -- mostly stevie's & harper's -- and while they're comfortable, i am always glad to take them off at the end of the day. these jeans are different. the fabric is very, very soft & feels like it's been washed & worn dozens of times. but the color & finish of the jean looks polished & spiffy enough to wear for evenings out or casual friday. and the fit is perfect, once i went up a size. slim and figure hugging but not at all constricting. my regular stevie's always fe",5,Bottoms
1078,28,"Couldn't make it work, even belted. ivory color is darker irl--dingy light tan, like dirty vintage. ""drop"" waist is not dropped at all, just a maternity-ish cut that starts boxy-loose high up (below bust), then abruptly flares out at bellybutton level (not low hip) into the skirt. i usually find a-line cuts good at giving illusion of a willowy, curvy waist, but this does not--adds ten pounds. poly fabric heavy/hot; rayon lining awkward and doesn't flow/drape. (5'3'' 127lb 34a, tried xs)",2,Dresses
1022,30,"These jeans are pricey and worth every dollar.  fits in the right area and makes your butt look perfect.  ladies, if you have thick legs...these jean are meant for you.",5,Bottoms
835,41,"Aaaaaaamazing tunic, it was love at first sight and the detail is spot on. the total weight is heavier than expected but that is due to the impeccable quality of the top.",5,Tops
873,27,"This is a great swingy tank for summer and the smocking adds a nice design element to an otherwise plain white top. i typically wear a l, sometimes xl in tops from retailer, but the l in this is pretty loose - i am hoping it will shrink down quite a bit in the wash. otherwise i really love the top, and now that it's on sale, the price is definitely right! i wish the black one was still available!",4,Tops
992,32,"I love this skirt. it does run a little small, i ordered an extra small and it is tight at the waist, but still works. i have received more compliments on this skirt than maybe anything i have owned. i've been stopped at the grocery store by people telling me how much they like it. i also work with kids, and they all love it as well.",5,Bottoms
1104,33,"I've admired the various iterations of this dress and finally found one in the sale room, much to my delight! i'm generally a sale shopper, so this doesn't mean i didn't think it was priced well. i have the oatmeal top with yellow/gold/orange pattern on the skirt in xs. the small fits comfortably up top, but on my petite frame, the top just looked too big, so i went with xs. i suppose the straps are a bit confusing, but their easy to figure out if you just look at them for a moment before puttin",5,Dresses
1079,38,"The navy blue lines on my dress on the very top of the interior layer can be seen through the upper layer at the very top and it looks cheap. for this price, i would expect more thoughtful patterning. the fit is amazing, so i am debating whether i should keep or return.",3,Dresses
1121,38,"My only complaint is that there is no lining. it also came very wrinkly and i need to figure out how to steam it.

however the fit is perfect (tts) and it is so very flattering!",5,Jackets
1077,43,"I hated to send this dress back, but my busty and curvy figure looked bigger and rounder in this dress. sent it back. it is meant for taller and more slender women.",4,Dresses
1078,44,This dress is really stunning - can be dressed up or down with a jean jacket really easily. runs quite a bit small in the bust (i ordered a 16 to accommodate) but it is really very pretty. i love this brand- they always have such lovely pieces.,4,Dresses
1051,45,"The cut is small. i am 5'9"", 150 lbs and usually wear 6-8/medium pants. medium in these is too fitted on my hips and rear.the polyester will be hot in summer. returning for another brand.",2,Bottoms
886,54,I had high hopes for this top but it was too big and too much fabric.,3,Tops
862,55,"I ordered it in two colors because of excellent reviews. nice material, but fit is not for me. i will be returning them.",3,Tops
820,51,This tunic is a wonderfully updated look. it's cinched just a tad at the waist which gives it a great line. i paired it with a pair of citizens of humanity crop jeans. terrific look!!,5,Tops
988,26,This skirt for sure was the most disappointing thing i've ever ordered from retailer. it looks like an all white skirt that has a little stiffness to it but looks are deceiving. it has this weird checkered patten and there is no shape to the skirt at all. there are also weird stitching lines. one more thing that i didn't like about the skirt was that it's a cream-ish color. not even the cute flamingos will make me keep this skirt. it's going back.,2,Bottoms
1086,62,"Cloth and stone never lets me down! awesome quality, comfort, and versatility. i imagine myself living in this dress this summer! soft fabric, easy breezy fit, pockets, machine washable...what's not to love? go buy it!",5,Dresses
905,55,"This is the cutest poncho style sweater (but the arms aren't attached like a true poncho. it doesn't work for a petite customer, unfortunately, but on average sized it's gorgeous. so pretty.",5,Tops
1022,46,"Love these jeans, fit and style... the wash is a makes them almost more navy blue than blue jean color... but they are soft and fit perfectly. another reviewer described them as mid rise, but they don't fit me that way at all",5,Bottoms
829,65,"This looks sooooo much better on, than on the hanger/in the picture. i bought the grey, and it is the most comfortable tunic i've ever worn. it is light, airy, and so easy to wear. i wish it came in more prints/colors, cause i'd buy another one, in a skinny minute! if you don't try this on, you're missing out on a surprisingly awesome wardrobe piece. you can wear it year-round with jeans, pants, a vest, wrap, scarves, leggings, boots, sandals or anything else, and it looks chic and whimsical. go",5,Tops
835,75,"Color is beautiful but looks like a maternity top on. i found i could tuck it in slacks and it looked fine. now for the cons:  it is supposed to be peacock design but i had only one peacock,under my arm, which could be seen, i guess, if i waved. the rest were parts of the bird. i would love to have the one in the photos!  next, who thought cheap white buttons on the back was a good idea?  if i had gotten a nice patterned top, i would have replaced the buttons. blouses that i like never seem to b",3,Tops
1004,24,The fabric is soooo thick. the pattern is very spring/summer but the heavy thick and lined fabric says otherwise. the pockets are great and the fit was true to size but that fabric killed it for me,2,Bottoms
320,28,"I would not wear this to bed - it's almost too pretty! i've been wearing this top under sweaters and shells as the weather is moving from winter to spring - i think it transitions the comfort of plaid into warmer weather perfectly! it dips a little low on me in the front (34b/c), so it's probably not for more professional settings. i like to wear it with a lacy bra-type top peeking out underneath.",4,Intimate
934,50,"I purchased the medium in this sweater as that was all that was left. but it fit like a large if not an xlarge! it's a beautifully made sweater and really soft. i now think i know why it suddenly becomes available again here and there. it's not the kind of sweater you want to wear over sized because as beautifully made as it is, it's not that flattering if it's hanging on you. luckily it suddenly became available in a small which i quickly ordered and will keep my figures crossed that it's bette",4,Tops
1072,61,Love this dress! it is very comfortable and stylish. looks great with flats or wedges. material is soft and comfy! definitely worth the price.,5,Dresses
831,38,"Wish i had snagged both styles of this shirt before they sold out. this is a very cute, work appropriate top - good weight and quality to the shirt. i wear a lot of black and white at work (so sick of gray..why are all business clothes gray?) and this top will be added into my regular rotation.",4,Tops
861,42,"This t- shirt is adorable. i saw this in the catalog and ordered it immediately- despite the $50 price tag. cute with jeans, khakis, shorts, under a denim jacket, the options are endless. print is very cute but the sizing and quality left something to be desired. the material is extremely thin- it will be a matter of time before holes develop... no matter how careful you are. i ordered a large to be roomy and it was way too big.",4,Tops
830,41,This top is so pretty. the fabric is absolutely gorgeous and the lace on the collar and back add an elegant old world vibe to this beautiful blouse. it is very light and flowy and i can imagine it will be nice and cool for those hot summer days to come. i am rather large chested so it does look a little tent like from the side but that is not the case fron the front and honestly i really don't care because it is so comfortable and pretty. i know i will wear this top quite a bit this summer.,5,Tops
860,74,Bought this blouse in white. fits great. can be worn with many things. dressed up or down.,5,Tops
861,24,"I like the look of this tee and the fit is fine but it's described as a ""cotton-rayon jersey"" and in fact it's 50% polyester. i would not have ordered if i had known and now have to take it back.",3,Tops
514,33,"Am typically a size 0 and could barely get the extra small on, which is a first. was very cute in theory, but i'd suggest sizing up (maybe 2x).",3,Intimate
1084,50,"This dress is not only beautiful, it's so comfortable to wear. it's also very flattering. i love that i can wear the dress with sandals or boots. great buy!",4,Dresses
1083,34,Lovely dress but runs at least a full size too big.,4,Dresses
1081,39,"But i have no idea where i would wear this dress... i tried on the size 2 in store, someone had returned it, but i always loved the cut and color of this dress (been in my wish list) so i tried it on anyway. it is so lovely, the cut is super flattering, the bow on the chest is beautiful, and the colors are much nicer in person, pinker. the feel is a bit satin0like, soft. i would need the 0 as it was a bit wide on the chest, but not a petite - surprisingly (usually do need petite in dresses).
if",5,Dresses
936,68,"I purchased this in the cream/beige color and love that it will go with everything. i can add details with long necklace or scarf-even a belt but it also stands alone and looks great with leggings or skinny jeans. i would also wear with a neutral skirt as shown on model. the fabric is not too thin and with a bit of cashmere will also add some warmth. it may shed some depending if you wear a nylon cami underneath. i purchased the xs, my usual size and fits great. 5'8-slender. love my purchase!",5,Tops
939,34,"Love the design!! it's screams retailer and is form fitting, flattering, and super cute!! however the material has the itch factor for me. it's not lined and therefore quite scratchy along the collar as well. what a shame.",4,Tops
895,48,Comfortable and great fit and color. high quality.,5,Tops
1076,38,The fabric of this looks and feels so cheap it's hard to believe this is anna sui. i would say this is unwearable. there is zero stretch and it is made of itchy textured poly fabric that looks like novelty fabric at best. going back asap.,1,Dresses
1103,23,Nice work dress. flirty style for spring.,4,Dresses
126,34,I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh,4,Intimate
569,46,"It's like a work of art, but sadly, not flattering on me. i absolutely loved the look, and even considered taking it to a tailor, but the material overall is very stiff. if you're teeny tiny and need something to give you the illusion of hips, you might love it. very sad to return this.",2,Trend
1099,42,"This dress is really flattering on. fits true to size. perfect length, i'm 5'6"" & dress hits just a few inches above my knees. it's simple, yet versatile seasonally. right now i plan to wear it with booties & sandals in the spring.",5,Dresses
1078,49,"The colors in this dress are beautiful (the green/blue version) but the fabric is a very see through mesh and feels flimsy. i purchased it online and wasn't expecting it to be so sheer -- the particular empire cut combined with the fabric makes it feel more like a nightgown, i really wanted to love it but it's going back.",2,Dresses
867,60,"Very pretty as shown, runs true to size, however fabric is scratchy on skin.",4,Tops
828,39,"Hi there, 
if you are looking for a shirt you can wear all summer long; this is it! soft, a little darker than shown in the picture (which i like better), and super comfortable. it also keeps me cool in these hot june temperatures. a great blouse to throw on with shorts or white jeans, and it can easily be dressed up for casual fridays at work. it is definitely oversized, but no more so than all clothes these days. i stuck with a size small and usually wear a size 4/6 in tops. so, if you are ti",5,Tops
239,40,Love the design and print. absolutely beautiful bathing suit. would size up on the bottoms. top is true to size.,5,Intimate
1081,36,"The dress didn't look like much on the hanger but the rust color caught my attention so i tried. the dress fits beautifully. i did have to size down to a small because the medium was too large on my frame. i have a longer torso and the elastic waist did not quite fall on my natural waist, but corrected by pairing with an obi belt, which looks fantastic. the bottom is lined and flows rather nicely. the dress has a modified hi/low thing going where the front and back are longer than the sides, but",5,Dresses
877,32,"I just got this after ordering online and i was pleasantly surprised. the cardigan has the structure of a lightweight jacket, so it creates a flattering silhouette. i ordered it in a medium, and even though i'm curvy on top it fits really nicely.",5,Tops
815,52,"I'm 5' 0"" and 120 pounds. this top is beautiful. it's high neck is so flattering. a nice switch it up for us gals that are older and like neck coverage sometimes. i purchased a small and it is a little longer, but since it has elastic at the waist it's no problem. i will tuck it in my jeans and skirts. the arm holes are perfect. the as far as it being a lot of blouse, i didn't find that at all. but i am busty, 34c or d depending on brand of bra. the color is ivory. omits completely sheer, no lin",5,Tops
1001,36,This price is amazing and goes with everything! fits great! so glad i made this purchase.,5,Bottoms
823,35,"This top is so much prettier on. you can dress it up or down. it does run a tad large. i'm 5'7"" and 145 lbs. i am usually in between a small and medium but usually a medium. i went for the small on this and i loved the fit of it. still pretty flowy and the medium would have been just too big. it is a tunic so it runs kind of long. a tiny bit too long for me but i will still wear it a lot.",4,Tops
146,31,Love these pajama bottoms. they are so comfortable and the print is fun and unique. i highly recommend. they run true to size and have a great length. they look short on the model but mine are perfect.,5,Intimate
935,66,"This vest is so functional. i think it is much prettier in person than in this photo. it has a much softer look to it and is less orange, more tan. i've worn it with a lot of different things: over a sweater dress at work, with soft pants and a long-sleeve t-shirt, or skinny jeans/pants and a simple top. wish it came in other colors (gray, navy or green would all be amazing)...one of my favorite pieces this season for sure. i do think it runs a little bit large, but i think the next size smaller",5,Tops
927,22,"This sweater is beautiful! not only is the lace front gorgeous, but it is incredibly comfortable and so well crafted. definitely my favorite cardigan now.",5,Tops
895,39,I love the idea but it is more of a over sweater than to wear by itself like model... too big/baggy,4,Tops
1052,67,"I love joggers, best style to come along in awhile. i think these are well made and i like the fabric. i just wish the leg were cut a bit slimmer but that's just a matter of preference. i definitely like them and will keep and wear.",5,Bottoms
1110,39,"I have to say being a silk lover, decision was hard to make. the quality is phenomenal. i do agree to a reviewer that said it's pj like. i tried it with belt, didn't help much with the look somehow. it just felt empty. my daughter who i usually turn for opinions said ""ewww, grandma""... i know, truth hurts.

i can't exchange for a smaller size either because the fabric is not stretchy and i'm afraid the extra small would confine my arm movement. on top of that, the background is more peachy tha",3,Dresses
819,67,"Loved the fit and colors, but the fabric is very thin and see-thru. i tried a nude cami underneath and the cami was completely visible. it did not look appropriate for anything that i wanted to wear the top to.",2,Tops
463,67,"Love the aqua print, which looks vaguely japanese to me. the quality is good, but unlike the other reviewer, i had to size up. my usual size x small was too tight. wish there were more colors.",5,Intimate
833,59,Feminine with beading in front. love the neckline and flow. nice fall colors. sleeves button. really nice fit in shoulders. if you like this style it is absolutely beautiful on. may be short on those with long torsos.,5,Tops
801,44,I think this jumpsuit is different! the xs fit well and the material is a pretty color but very soft. the store had it styled with a metallic scarf that really accessorized it well.  i thought it would be great for my date night but stopped short of buying because i just can't picture this worn to other outings.  it is very unique though so i just might be back to purchase.,4,Intimate
1094,57,"This dress runs waaaay small. i would have too size up at least 2 sizes. while it is a beautiful color, it is an extremely stiff dress. returning!",4,Dresses
1095,46,I wish summer was longer so i could have the opportunity to wear this more. much more eye-catching and unique in person than the photo. 5 stars.,5,Dresses
854,38,I get so many compliments when i wear this... colors are great and print is unique. perfect for fall.,5,Tops
